Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v60,M,Republican,N,N,N,2010/1/1
v61,F,Democratic,N,N,Y,2010/1/1
v62,F,Democratic,N,N,N,2010/1/1
v63,F,Republican,N,N,N,2012/7/4
v64,M,Democratic,N,N,N,2010/1/1
v65,F,Republican,N,N,N,2010/1/1
v66,M,Republican,N,N,N,2012/7/4
v67,F,Republican,N,N,N,2010/1/1
v68,M,Democratic,N,N,Y,2010/1/1
v69,M,Democratic,N,N,N,2010/1/1
v70,F,Republican,N,N,N,2010/1/1
v71,F,Democratic,N,N,N,2010/1/1
v72,M,Republican,Y,N,Y,2012/7/4
v73,M,Democratic,N,N,N,2012/7/4
v74,F,Democratic,N,N,Y,2010/1/1
v75,M,Republican,N,N,N,2010/1/1
v76,F,Democratic,N,N,Y,2012/7/4
v77,M,Republican,N,N,N,2012/7/4
v78,M,Democratic,N,N,N,2010/1/1
v79,M,Democratic,N,N,N,2010/1/1
v80,F,Republican,N,Y,Y,2010/1/1
v81,M,Republican,N,N,Y,2012/7/4
v82,F,Republican,N,N,N,2012/7/4
v83,F,Republican,N,N,N,2010/1/1
v84,M,Green,N,N,Y,2010/1/1
v85,M,Democratic,N,N,N,2012/7/4
v86,F,Green,N,N,N,2010/1/1
v87,F,Republican,N,N,N,2012/7/4
v88,M,Democratic,N,N,N,2012/7/4
v89,M,Republican,N,N,Y,2010/1/1
v90,M,Democratic,N,N,Y,2012/7/4
v91,F,Republican,N,N,Y,2010/1/1
v92,F,Democratic,N,N,N,2010/1/1
v93,F,Republican,N,N,N,2010/1/1
v94,M,Democratic,N,N,N,2012/7/4
v95,F,Green,Y,N,Y,2010/1/1
v96,M,Republican,Y,N,Y,2012/7/4
v97,M,Democratic,Y,N,Y,2010/1/1
v98,F,Republican,N,N,N,2012/7/4
v99,F,Democratic,N,Y,Y,2010/1/1
v100,M,Republican,N,N,N,2012/7/4
v101,F,Democratic,N,N,Y,2010/1/1
v102,M,Democratic,N,N,N,2010/1/1
v103,F,Green,N,N,Y,2010/1/1
v104,F,Democratic,N,N,Y,2012/7/4
v105,M,Democratic,N,N,N,2012/7/4
v106,M,Democratic,Y,N,Y,2012/7/4
v107,M,Democratic,N,N,Y,2010/1/1
v108,F,Republican,N,N,N,2012/7/4
v109,M,Democratic,Y,N,Y,2012/7/4
v110,F,Republican,N,N,N,2012/7/4
v111,F,Republican,N,N,N,2010/1/1
v112,F,Democratic,N,N,Y,2012/7/4
v113,F,Republican,N,N,Y,2012/7/4
v114,F,Republican,N,N,N,2010/1/1
v115,F,Democratic,N,N,Y,2012/7/4
v116,M,Republican,N,N,N,2012/7/4
v117,F,Democratic,N,N,N,2012/7/4
v118,M,Republican,Y,N,Y,2010/1/1
v119,M,Democratic,N,N,N,2010/1/1
v120,M,Democratic,N,N,N,2012/7/4
v121,M,Democratic,N,N,N,2012/7/4
v122,M,Republican,N,N,N,2010/1/1
v123,M,Democratic,N,N,Y,2012/7/4
v124,F,Republican,N,N,N,2010/1/1
v125,M,Green,Y,N,Y,2012/7/4
v126,F,Democratic,N,N,N,2012/7/4
v127,M,Green,N,N,Y,2010/1/1
v128,M,Republican,N,N,N,2012/7/4
v129,M,Republican,N,N,Y,2010/1/1
v130,M,Democratic,N,N,N,2010/1/1
v131,F,Green,N,N,N,2010/1/1
v132,F,Republican,N,N,Y,2012/7/4
v133,F,Democratic,N,N,Y,2012/7/4
v134,F,Democratic,N,N,N,2012/7/4
v135,F,Democratic,Y,N,Y,2010/1/1
v136,F,Democratic,N,N,N,2012/7/4
v137,F,Green,N,N,N,2012/7/4
v138,M,Republican,N,N,N,2010/1/1
v139,M,Republican,N,N,Y,2010/1/1
v140,M,Republican,N,N,N,2010/1/1
v141,F,Republican,N,N,N,2010/1/1
v142,M,Democratic,N,N,N,2010/1/1
v143,F,Democratic,N,N,N,2010/1/1
v144,F,Democratic,N,N,N,2010/1/1
v145,M,Republican,N,Y,Y,2010/1/1
v146,F,Democratic,Y,N,Y,2012/7/4
v147,F,Republican,N,N,Y,2010/1/1
v148,F,Democratic,N,N,Y,2010/1/1
v149,F,Democratic,N,N,N,2010/1/1
v150,M,Democratic,N,N,N,2010/1/1
v151,F,Republican,N,N,N,2010/1/1
v152,M,Democratic,N,N,N,2010/1/1
v153,F,Republican,N,N,N,2010/1/1
v154,F,Democratic,N,N,Y,2012/7/4
v155,F,Republican,N,N,N,2012/7/4
v156,F,Democratic,N,N,N,2010/1/1
v157,F,Republican,N,N,N,2012/7/4
v158,M,Green,N,N,Y,2010/1/1
v159,F,Republican,N,N,N,2010/1/1
v160,M,Republican,N,N,N,2010/1/1
v161,F,Green,N,N,N,2012/7/4
v162,M,Republican,N,N,N,2010/1/1
v163,F,Democratic,N,Y,Y,2012/7/4
v164,F,Democratic,N,N,N,2010/1/1
v165,F,Green,N,N,N,2010/1/1
v166,F,Democratic,N,N,N,2010/1/1
v167,M,Democratic,N,N,N,2012/7/4
v168,M,Democratic,Y,N,Y,2012/7/4
v169,M,Republican,N,N,N,2012/7/4
v170,F,Republican,N,N,Y,2012/7/4
v171,M,Democratic,N,N,N,2012/7/4
v172,M,Republican,N,N,N,2010/1/1
v173,F,Republican,N,N,N,2010/1/1
v174,M,Democratic,N,N,N,2010/1/1
v175,F,Republican,N,N,N,2012/7/4
v176,F,Democratic,N,N,N,2012/7/4
v177,M,Green,N,N,Y,2010/1/1
v178,M,Republican,N,N,N,2010/1/1
v179,F,Republican,N,N,N,2012/7/4
v180,F,Republican,N,N,N,2012/7/4
v181,M,Republican,N,N,N,2012/7/4
v182,M,Republican,N,N,N,2010/1/1
v183,F,Republican,N,N,N,2012/7/4
v184,M,Democratic,N,N,N,2012/7/4
v185,M,Democratic,N,N,N,2012/7/4
v186,M,Republican,N,N,N,2010/1/1
v187,F,Democratic,N,N,N,2012/7/4
v188,F,Democratic,N,N,N,2010/1/1
v189,M,Republican,N,N,N,2012/7/4
v190,F,Republican,N,N,N,2010/1/1
v191,F,Democratic,N,N,N,2010/1/1
v192,F,Democratic,N,N,N,2010/1/1
v193,M,Democratic,N,N,N,2010/1/1
v194,M,Democratic,N,N,N,2010/1/1
v195,M,Republican,N,N,N,2012/7/4
v196,F,Republican,N,N,N,2010/1/1
v197,M,Republican,N,N,N,2010/1/1
v198,F,Republican,N,N,N,2012/7/4
v199,F,Democratic,Y,N,Y,2010/1/1
v200,M,Democratic,N,N,N,2010/1/1
v201,M,Democratic,N,N,N,2012/7/4
v202,M,Republican,N,N,N,2010/1/1
v203,F,Democratic,N,N,N,2010/1/1
v204,M,Democratic,N,N,Y,2010/1/1
v205,F,Democratic,N,N,N,2012/7/4
v206,F,Democratic,N,N,N,2012/7/4
v207,M,Republican,N,N,N,2010/1/1
v208,F,Republican,N,N,N,2012/7/4
v209,F,Democratic,N,N,Y,2012/7/4
v210,M,Democratic,N,N,Y,2010/1/1
v211,M,Green,N,N,Y,2010/1/1
v212,M,Democratic,N,N,N,2010/1/1
v213,F,Republican,Y,N,Y,2012/7/4
v214,M,Republican,N,N,N,2012/7/4
v215,M,Republican,N,N,N,2012/7/4
v216,F,Republican,N,N,Y,2010/1/1
v217,M,Democratic,N,N,Y,2012/7/4
v218,M,Republican,N,N,N,2010/1/1
v219,F,Republican,N,N,N,2012/7/4
v220,M,Republican,N,N,N,2010/1/1
v221,M,Republican,N,N,Y,2010/1/1
v222,F,Republican,N,N,N,2010/1/1
v223,M,Democratic,N,N,N,2012/7/4
v224,F,Democratic,N,N,N,2010/1/1
v225,F,Democratic,N,N,N,2010/1/1
v226,F,Democratic,N,N,N,2010/1/1
v227,M,Democratic,N,N,Y,2010/1/1
v228,M,Democratic,N,N,N,2010/1/1
v229,M,Republican,N,N,N,2010/1/1
v230,F,Republican,N,N,Y,2010/1/1
v231,M,Green,N,N,N,2010/1/1
v232,M,Democratic,N,N,N,2010/1/1
v233,M,Green,N,N,N,2012/7/4
v234,M,Republican,N,N,N,2012/7/4
v235,F,Republican,N,N,N,2012/7/4
v236,F,Republican,N,N,N,2012/7/4
v237,F,Democratic,N,N,N,2010/1/1
v238,M,Republican,N,N,Y,2012/7/4
v239,M,Green,N,N,N,2010/1/1
v240,F,Democratic,Y,N,Y,2010/1/1
v241,F,Republican,N,N,N,2012/7/4
v242,M,Democratic,N,N,Y,2010/1/1
v243,M,Green,N,N,N,2010/1/1
v244,F,Republican,N,N,Y,2012/7/4
v245,F,Democratic,N,N,Y,2012/7/4
v246,F,Green,N,N,Y,2010/1/1
v247,F,Democratic,N,N,Y,2012/7/4
v248,F,Republican,N,N,N,2010/1/1
v249,M,Republican,Y,N,Y,2012/7/4
v250,F,Republican,N,N,N,2012/7/4
v251,F,Democratic,N,N,N,2010/1/1
v252,F,Democratic,Y,N,Y,2010/1/1
v253,M,Green,N,N,N,2012/7/4
v254,F,Democratic,N,N,Y,2010/1/1
v255,F,Democratic,N,N,N,2010/1/1
v256,M,Republican,N,N,N,2010/1/1
v257,M,Democratic,N,N,N,2012/7/4
v258,F,Democratic,Y,N,Y,2012/7/4
v259,F,Democratic,N,N,N,2012/7/4
v260,F,Republican,N,N,N,2010/1/1
v261,M,Democratic,N,N,N,2012/7/4
v262,F,Democratic,N,N,N,2012/7/4
v263,M,Democratic,N,N,N,2012/7/4
v264,F,Democratic,N,N,Y,2012/7/4
v265,F,Republican,Y,N,Y,2012/7/4
v266,F,Green,N,N,N,2010/1/1
v267,M,Green,N,N,N,2012/7/4
v268,M,Democratic,N,N,N,2012/7/4
v269,F,Democratic,N,N,N,2012/7/4
v270,M,Democratic,N,N,N,2012/7/4
v271,M,Republican,N,N,N,2012/7/4
v272,M,Green,N,N,N,2012/7/4
v273,M,Democratic,N,N,N,2010/1/1
v274,F,Republican,N,N,N,2012/7/4
v275,M,Republican,N,N,Y,2010/1/1
v276,M,Republican,N,N,N,2010/1/1
v277,M,Democratic,N,Y,Y,2010/1/1
v278,F,Democratic,N,N,N,2012/7/4
v279,F,Democratic,N,N,N,2010/1/1
v280,M,Democratic,Y,N,Y,2010/1/1
v281,M,Republican,N,N,Y,2010/1/1
v282,F,Green,N,N,N,2012/7/4
v283,M,Democratic,N,N,N,2010/1/1
v284,M,Republican,N,N,Y,2012/7/4
v285,M,Republican,N,N,Y,2012/7/4
v286,M,Democratic,N,N,N,2010/1/1
v287,M,Republican,N,N,Y,2012/7/4
v288,M,Green,N,N,Y,2010/1/1
v289,M,Republican,N,N,N,2012/7/4
v290,F,Democratic,N,N,N,2010/1/1
v291,M,Democratic,N,N,Y,2010/1/1
v292,F,Democratic,N,N,N,2010/1/1
v293,F,Democratic,N,N,N,2010/1/1
v294,M,Democratic,N,N,N,2012/7/4
v295,F,Democratic,N,N,N,2012/7/4
v296,F,Democratic,N,Y,Y,2012/7/4
v297,F,Republican,N,N,N,2012/7/4
v298,M,Republican,N,N,Y,2010/1/1
v299,M,Green,N,N,N,2010/1/1
v300,M,Democratic,N,N,N,2012/7/4
v301,F,Democratic,N,N,Y,2010/1/1
v302,M,Republican,N,N,N,2010/1/1
v303,F,Democratic,N,N,N,2012/7/4
v304,F,Democratic,Y,N,Y,2010/1/1
v305,F,Republican,N,N,N,2010/1/1
v306,M,Green,N,N,N,2012/7/4
v307,M,Republican,N,N,N,2012/7/4
v308,F,Republican,N,N,Y,2010/1/1
v309,F,Republican,N,N,Y,2012/7/4
v310,M,Democratic,N,N,N,2012/7/4
v311,M,Republican,N,N,N,2012/7/4
v312,F,Democratic,N,N,Y,2012/7/4
v313,F,Green,N,N,Y,2012/7/4
v314,F,Republican,N,N,Y,2010/1/1
v315,F,Democratic,N,N,Y,2012/7/4
v316,M,Democratic,Y,N,Y,2010/1/1
v317,M,Democratic,N,N,N,2012/7/4
v318,F,Green,N,N,N,2010/1/1
v319,M,Democratic,N,N,Y,2012/7/4
v320,M,Republican,N,N,Y,2012/7/4
v321,F,Republican,N,N,N,2010/1/1
v322,M,Democratic,N,N,N,2010/1/1
v323,M,Democratic,Y,N,Y,2012/7/4
v324,F,Republican,N,N,N,2010/1/1
v325,M,Democratic,N,N,N,2010/1/1
v326,F,Democratic,N,Y,Y,2012/7/4
v327,M,Republican,N,N,N,2010/1/1
v328,F,Republican,N,Y,Y,2012/7/4
v329,F,Democratic,N,N,N,2012/7/4
v330,M,Democratic,N,N,N,2012/7/4
v331,M,Republican,N,N,Y,2010/1/1
v332,F,Republican,N,N,N,2012/7/4
v333,F,Democratic,N,N,Y,2012/7/4
v334,M,Republican,N,N,N,2012/7/4
v335,M,Democratic,Y,N,Y,2012/7/4
v336,F,Republican,N,N,N,2010/1/1
v337,F,Republican,N,N,N,2012/7/4
v338,M,Green,N,N,N,2010/1/1
v339,F,Democratic,N,N,N,2010/1/1
v340,M,Republican,N,N,Y,2012/7/4
v341,F,Democratic,N,N,Y,2010/1/1
v342,F,Republican,Y,N,Y,2010/1/1
v343,F,Democratic,N,N,Y,2012/7/4
v344,M,Republican,Y,N,Y,2012/7/4
v345,F,Democratic,N,N,N,2010/1/1
v346,F,Democratic,N,N,N,2010/1/1
v347,F,Republican,Y,N,Y,2010/1/1
v348,F,Republican,N,N,N,2012/7/4
v349,F,Democratic,N,N,Y,2010/1/1
v350,F,Democratic,N,N,N,2012/7/4
v351,M,Democratic,N,N,N,2010/1/1
v352,F,Green,N,N,Y,2010/1/1
v353,F,Republican,N,N,Y,2012/7/4
v354,M,Republican,N,N,Y,2010/1/1
v355,M,Republican,N,N,Y,2012/7/4
v356,F,Democratic,N,N,N,2010/1/1
v357,M,Republican,N,N,N,2010/1/1
v358,M,Democratic,N,N,N,2012/7/4
v359,F,Republican,N,N,N,2012/7/4
v360,M,Republican,N,N,N,2012/7/4
v361,F,Republican,N,N,N,2012/7/4
v362,F,Democratic,N,N,N,2010/1/1
v363,M,Democratic,N,N,Y,2010/1/1
v364,F,Republican,N,N,N,2010/1/1
v365,M,Republican,N,N,N,2010/1/1
v366,F,Republican,N,N,N,2012/7/4
v367,M,Democratic,N,N,Y,2012/7/4
v368,F,Democratic,N,N,N,2012/7/4
v369,M,Republican,N,N,N,2010/1/1
v370,F,Republican,N,N,Y,2012/7/4
v371,M,Democratic,N,N,N,2012/7/4
v372,M,Green,N,N,N,2010/1/1
v373,M,Republican,N,N,N,2010/1/1
v374,M,Democratic,N,N,Y,2012/7/4
v375,M,Republican,N,N,Y,2010/1/1
v376,F,Democratic,N,Y,Y,2010/1/1
v377,F,Democratic,N,N,N,2010/1/1
v378,M,Democratic,N,N,N,2010/1/1
v379,M,Democratic,N,N,N,2010/1/1
v380,F,Democratic,N,N,N,2012/7/4
v381,M,Green,N,N,N,2010/1/1
v382,M,Democratic,N,N,N,2012/7/4
v383,M,Democratic,N,Y,Y,2012/7/4
v384,F,Republican,N,N,N,2012/7/4
v385,M,Democratic,N,N,N,2010/1/1
v386,F,Republican,N,N,N,2012/7/4
v387,F,Democratic,N,Y,Y,2012/7/4
v388,M,Democratic,N,N,Y,2010/1/1
v389,F,Green,N,N,N,2010/1/1
v390,M,Republican,N,N,N,2010/1/1
v391,M,Republican,N,N,N,2010/1/1
v392,F,Democratic,N,N,N,2010/1/1
v393,F,Democratic,N,N,N,2010/1/1
v394,M,Republican,N,N,N,2010/1/1
v395,M,Republican,N,N,N,2012/7/4
v396,M,Republican,N,N,Y,2012/7/4
v397,F,Democratic,N,N,N,2012/7/4
v398,F,Democratic,N,N,N,2012/7/4
v399,M,Democratic,N,N,N,2010/1/1
v400,F,Democratic,N,N,N,2010/1/1
v401,F,Democratic,N,N,Y,2010/1/1
v402,M,Democratic,N,N,Y,2010/1/1
v403,F,Republican,N,N,N,2012/7/4
v404,F,Democratic,N,N,N,2012/7/4
v405,F,Democratic,Y,N,Y,2010/1/1
v406,F,Democratic,N,N,Y,2012/7/4
v407,F,Republican,N,N,N,2012/7/4
v408,F,Democratic,N,N,N,2012/7/4
v409,M,Republican,N,N,N,2010/1/1
v410,F,Democratic,Y,N,Y,2012/7/4
v411,M,Republican,N,N,N,2010/1/1
v412,M,Democratic,N,N,Y,2010/1/1
v413,M,Democratic,N,N,Y,2012/7/4
v414,F,Republican,N,N,N,2012/7/4
v415,M,Democratic,N,N,Y,2010/1/1
v416,M,Democratic,N,N,N,2012/7/4
v417,M,Democratic,N,Y,Y,2010/1/1
v418,F,Republican,N,N,N,2010/1/1
v419,M,Green,N,N,N,2010/1/1
v420,M,Democratic,N,N,Y,2010/1/1
v421,M,Democratic,N,N,N,2010/1/1
v422,F,Democratic,N,N,N,2010/1/1
v423,F,Republican,N,N,Y,2010/1/1
v424,F,Republican,N,N,Y,2010/1/1
v425,M,Democratic,N,N,N,2010/1/1
v426,F,Republican,N,N,N,2010/1/1
v427,M,Democratic,N,N,N,2010/1/1
v428,F,Green,N,N,Y,2012/7/4
v429,F,Democratic,N,Y,Y,2010/1/1
v430,M,Republican,N,N,Y,2010/1/1
v431,F,Democratic,N,N,N,2010/1/1
v432,F,Democratic,N,N,N,2012/7/4
v433,F,Republican,N,N,Y,2012/7/4
v434,M,Republican,N,N,N,2010/1/1
v435,F,Republican,N,N,N,2012/7/4
v436,M,Green,N,N,N,2010/1/1
v437,M,Democratic,Y,N,Y,2010/1/1
v438,M,Republican,N,N,N,2010/1/1
v439,M,Republican,N,N,N,2010/1/1
v440,M,Republican,N,N,N,2012/7/4
v441,M,Republican,N,N,N,2012/7/4
v442,M,Republican,N,N,N,2010/1/1
v443,F,Republican,N,N,N,2012/7/4
v444,M,Republican,Y,N,Y,2010/1/1
v445,F,Republican,N,N,Y,2010/1/1
v446,F,Democratic,N,N,N,2012/7/4
v447,F,Republican,N,N,N,2010/1/1
v448,F,Democratic,N,N,N,2010/1/1
v449,M,Republican,N,N,Y,2010/1/1
v450,M,Democratic,N,N,N,2012/7/4
v451,M,Republican,N,N,N,2012/7/4
v452,M,Republican,N,N,Y,2010/1/1
v453,M,Democratic,N,N,N,2012/7/4
v454,M,Republican,N,N,N,2012/7/4
v455,F,Republican,Y,N,Y,2012/7/4
v456,M,Democratic,N,N,N,2010/1/1
v457,F,Republican,N,N,N,2010/1/1
v458,M,Democratic,N,N,N,2012/7/4
v459,M,Republican,Y,N,Y,2010/1/1
v460,M,Republican,N,N,N,2012/7/4
v461,F,Republican,N,N,N,2010/1/1
v462,M,Republican,N,N,N,2010/1/1
v463,F,Democratic,N,N,N,2012/7/4
v464,F,Democratic,N,N,N,2012/7/4
v465,M,Democratic,N,N,N,2012/7/4
v466,M,Republican,N,N,N,2010/1/1
v467,M,Democratic,N,N,N,2010/1/1
v468,F,Democratic,N,N,Y,2012/7/4
v469,F,Republican,N,N,N,2012/7/4
v470,F,Republican,N,N,N,2012/7/4
v471,M,Democratic,N,N,N,2010/1/1
v472,M,Democratic,N,N,N,2010/1/1
v473,F,Green,N,N,N,2012/7/4
v474,M,Democratic,N,N,Y,2012/7/4
v475,M,Democratic,N,N,N,2010/1/1
v476,F,Democratic,N,N,N,2010/1/1
v477,M,Democratic,N,N,N,2010/1/1
v478,F,Democratic,Y,N,Y,2012/7/4
v479,M,Democratic,N,N,Y,2012/7/4
v480,F,Democratic,N,N,N,2010/1/1
v481,F,Republican,N,N,N,2012/7/4
v482,M,Republican,N,N,N,2012/7/4
v483,M,Democratic,N,N,N,2010/1/1
v484,F,Democratic,N,N,N,2010/1/1
v485,M,Democratic,N,N,Y,2010/1/1
v486,F,Green,Y,N,Y,2010/1/1
v487,M,Republican,N,N,Y,2010/1/1
v488,F,Republican,N,N,N,2012/7/4
v489,F,Democratic,N,N,N,2012/7/4
v490,M,Republican,N,N,N,2012/7/4
v491,M,Republican,N,N,N,2012/7/4
v492,M,Republican,Y,N,Y,2012/7/4
v493,F,Democratic,N,N,Y,2012/7/4
v494,M,Republican,N,N,Y,2010/1/1
v495,M,Democratic,N,N,N,2010/1/1
v496,F,Republican,Y,N,Y,2012/7/4
v497,M,Democratic,N,N,Y,2012/7/4
v498,F,Democratic,N,N,N,2010/1/1
v499,F,Democratic,N,N,N,2010/1/1
v500,F,Republican,N,N,N,2012/7/4
v501,M,Green,N,N,N,2012/7/4
v502,M,Democratic,N,N,N,2010/1/1
v503,F,Democratic,N,N,N,2010/1/1
v504,F,Republican,N,N,N,2012/7/4
v505,M,Democratic,N,N,N,2012/7/4
v506,F,Republican,N,N,N,2010/1/1
v507,M,Democratic,N,N,N,2012/7/4
v508,F,Republican,N,N,N,2010/1/1
v509,M,Republican,N,N,N,2010/1/1
v510,F,Democratic,N,N,N,2010/1/1
v511,M,Democratic,N,N,N,2010/1/1
v512,M,Democratic,N,Y,Y,2010/1/1
v513,M,Republican,N,N,Y,2012/7/4
v514,M,Democratic,N,N,N,2012/7/4
v515,M,Democratic,N,N,N,2012/7/4
v516,F,Republican,N,N,Y,2010/1/1
v517,F,Green,N,N,N,2010/1/1
v518,F,Republican,N,N,Y,2010/1/1
v519,M,Republican,N,N,N,2012/7/4
v520,M,Republican,N,N,Y,2012/7/4
v521,M,Democratic,N,N,N,2010/1/1
v522,M,Republican,N,N,N,2010/1/1
v523,M,Republican,Y,N,Y,2012/7/4
v524,F,Democratic,N,N,Y,2010/1/1
v525,M,Green,N,N,N,2010/1/1
v526,F,Republican,N,N,N,2010/1/1
v527,F,Democratic,N,N,N,2010/1/1
v528,M,Democratic,N,N,Y,2012/7/4
v529,F,Republican,N,N,Y,2010/1/1
v530,M,Republican,N,N,N,2012/7/4
v531,M,Republican,N,N,N,2012/7/4
v532,F,Democratic,N,N,N,2012/7/4
v533,M,Republican,N,N,N,2012/7/4
v534,F,Republican,N,N,N,2010/1/1
v535,F,Republican,N,N,N,2012/7/4
v536,F,Democratic,N,N,N,2010/1/1
v537,F,Democratic,N,N,N,2010/1/1
v538,M,Republican,N,N,Y,2010/1/1
v539,M,Democratic,N,N,N,2010/1/1
v540,M,Democratic,N,N,Y,2010/1/1
v541,M,Republican,N,N,N,2010/1/1
v542,F,Democratic,N,N,N,2010/1/1
v543,M,Democratic,N,N,N,2010/1/1
v544,F,Republican,N,N,N,2012/7/4
v545,M,Democratic,N,N,N,2010/1/1
v546,F,Democratic,N,N,N,2010/1/1
v547,F,Democratic,N,N,N,2012/7/4
v548,F,Republican,N,N,N,2012/7/4
v549,M,Green,N,N,Y,2010/1/1
v550,F,Democratic,N,Y,N,2012/7/4
v551,M,Democratic,Y,N,Y,2010/1/1
v552,M,Republican,N,N,N,2010/1/1
v553,M,Republican,N,N,N,2010/1/1
v554,M,Republican,N,N,Y,2012/7/4
v555,M,Republican,N,N,N,2010/1/1
v556,M,Democratic,N,Y,Y,2012/7/4
v557,F,Republican,N,N,N,2012/7/4
v558,M,Democratic,N,N,Y,2012/7/4
v559,F,Democratic,N,N,N,2010/1/1
v560,F,Republican,N,N,N,2012/7/4
v561,F,Republican,N,N,Y,2010/1/1
v562,M,Democratic,N,N,N,2012/7/4
v563,M,Democratic,N,N,N,2010/1/1
v564,F,Democratic,N,N,Y,2010/1/1
v565,F,Green,N,N,N,2010/1/1
v566,F,Democratic,N,N,N,2010/1/1
v567,F,Democratic,N,N,N,2012/7/4
v568,F,Republican,N,N,N,2010/1/1
v569,M,Republican,N,N,N,2012/7/4
v570,M,Democratic,N,N,N,2012/7/4
v571,F,Republican,N,N,N,2010/1/1
v572,F,Republican,N,N,N,2010/1/1
v573,M,Democratic,N,N,N,2010/1/1
v574,F,Republican,N,N,Y,2010/1/1
v575,M,Republican,N,N,N,2012/7/4
v576,F,Republican,N,N,Y,2012/7/4
v577,M,Democratic,N,N,N,2010/1/1
v578,M,Republican,N,N,Y,2010/1/1
v579,M,Democratic,N,N,N,2012/7/4
v580,F,Democratic,N,N,N,2010/1/1
v581,F,Green,N,N,N,2010/1/1
v582,M,Republican,N,N,Y,2010/1/1
v583,M,Republican,Y,N,Y,2012/7/4
v584,F,Democratic,N,N,Y,2012/7/4
v585,M,Republican,N,N,N,2012/7/4
v586,F,Republican,N,N,Y,2012/7/4
v587,F,Republican,N,N,N,2010/1/1
v588,F,Democratic,N,N,N,2010/1/1
v589,M,Democratic,N,N,N,2012/7/4
v590,F,Democratic,N,N,N,2012/7/4
v591,M,Republican,N,N,Y,2010/1/1
v592,M,Democratic,N,N,N,2012/7/4
v593,M,Republican,N,N,N,2010/1/1
v594,M,Republican,N,N,N,2010/1/1
v595,F,Green,Y,N,Y,2012/7/4
v596,M,Republican,N,N,N,2010/1/1
v597,M,Republican,N,N,N,2012/7/4
v598,M,Republican,N,N,N,2012/7/4
v599,M,Republican,N,N,N,2012/7/4
v600,F,Republican,N,N,N,2012/7/4
v601,M,Democratic,Y,N,Y,2012/7/4
v602,F,Green,N,N,N,2012/7/4
v603,M,Republican,N,N,N,2012/7/4
v604,F,Democratic,N,N,Y,2010/1/1
v605,F,Green,N,N,N,2012/7/4
v606,F,Green,N,N,N,2010/1/1
v607,M,Democratic,N,N,N,2010/1/1
v608,F,Republican,Y,N,Y,2010/1/1
v609,F,Democratic,N,N,N,2010/1/1
v610,M,Republican,N,N,N,2012/7/4
