Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v112,F,Democratic,N,N,N,2012/7/4
v113,M,Republican,N,N,N,2010/1/1
v114,F,Republican,N,Y,Y,2010/1/1
v115,M,Green,N,N,Y,2012/7/4
v116,M,Republican,N,N,Y,2012/7/4
v117,F,Republican,N,N,N,2010/1/1
v118,F,Democratic,N,N,Y,2010/1/1
v119,F,Republican,N,N,N,2012/7/4
v120,F,Republican,N,N,Y,2010/1/1
v121,F,Democratic,N,N,N,2012/7/4
v122,F,Democratic,N,N,N,2010/1/1
v123,F,Democratic,N,N,N,2010/1/1
v124,F,Republican,N,N,Y,2012/7/4
v125,M,Democratic,N,N,N,2012/7/4
v126,F,Republican,N,N,N,2010/1/1
v127,M,Democratic,N,N,N,2012/7/4
v128,F,Democratic,N,N,N,2012/7/4
v129,M,Green,N,N,N,2012/7/4
v130,F,Green,N,N,N,2010/1/1
v131,M,Republican,N,N,N,2012/7/4
v132,M,Democratic,N,N,Y,2012/7/4
v133,M,Democratic,N,Y,Y,2010/1/1
v134,F,Republican,N,N,N,2012/7/4
v135,M,Republican,N,N,Y,2012/7/4
v136,F,Democratic,N,N,Y,2012/7/4
v137,F,Democratic,N,N,Y,2010/1/1
v138,M,Democratic,Y,N,Y,2012/7/4
v139,F,Democratic,N,N,Y,2010/1/1
v140,M,Democratic,N,N,N,2012/7/4
v141,M,Republican,N,N,Y,2012/7/4
v142,F,Green,N,N,Y,2010/1/1
v143,F,Republican,N,N,Y,2012/7/4
v144,M,Democratic,N,N,N,2012/7/4
v145,F,Green,Y,N,Y,2010/1/1
v146,M,Democratic,Y,N,Y,2010/1/1
v147,F,Democratic,N,N,N,2012/7/4
v148,M,Democratic,N,N,N,2010/1/1
v149,M,Republican,N,N,Y,2010/1/1
v150,F,Republican,N,N,N,2010/1/1
v151,M,Republican,N,N,N,2010/1/1
v152,F,Democratic,Y,N,Y,2012/7/4
v153,F,Democratic,N,N,N,2012/7/4
v154,F,Republican,N,N,Y,2012/7/4
v155,F,Democratic,Y,N,Y,2010/1/1
v156,M,Democratic,N,N,Y,2010/1/1
v157,M,Democratic,N,N,N,2010/1/1
v158,F,Republican,N,N,Y,2010/1/1
v159,M,Republican,N,N,N,2010/1/1
v160,M,Democratic,N,N,N,2010/1/1
v161,M,Republican,N,N,N,2012/7/4
v162,M,Democratic,N,N,N,2010/1/1
v163,F,Democratic,N,N,N,2012/7/4
v164,F,Democratic,N,N,Y,2010/1/1
v165,F,Republican,N,N,N,2012/7/4
v166,F,Democratic,N,N,N,2010/1/1
v167,F,Democratic,N,N,N,2012/7/4
v168,M,Democratic,N,Y,Y,2012/7/4
v169,F,Republican,N,N,Y,2012/7/4
v170,M,Democratic,N,N,N,2012/7/4
v171,F,Republican,Y,N,Y,2012/7/4
v172,M,Democratic,N,N,N,2010/1/1
v173,F,Democratic,N,N,Y,2010/1/1
v174,F,Democratic,N,N,Y,2010/1/1
v175,M,Democratic,N,N,N,2010/1/1
v176,F,Republican,N,N,N,2012/7/4
v177,M,Democratic,Y,N,Y,2012/7/4
v178,F,Republican,N,N,Y,2012/7/4
v179,F,Republican,N,N,N,2010/1/1
v180,F,Republican,N,N,Y,2012/7/4
v181,M,Republican,N,N,N,2010/1/1
v182,M,Republican,N,N,N,2010/1/1
v183,F,Green,N,N,Y,2012/7/4
v184,F,Republican,N,N,Y,2010/1/1
v185,M,Democratic,N,N,N,2012/7/4
v186,F,Democratic,N,N,N,2010/1/1
v187,F,Green,N,N,N,2012/7/4
v188,M,Republican,N,N,N,2010/1/1
v189,M,Democratic,N,N,N,2012/7/4
v190,F,Green,Y,N,Y,2010/1/1
v191,M,Republican,N,N,N,2010/1/1
v192,M,Republican,N,N,N,2010/1/1
v193,F,Democratic,N,N,Y,2012/7/4
v194,M,Democratic,N,N,Y,2010/1/1
v195,M,Democratic,N,N,N,2012/7/4
v196,M,Democratic,N,N,N,2012/7/4
v197,F,Democratic,N,N,Y,2012/7/4
v198,M,Green,N,N,N,2010/1/1
v199,F,Democratic,N,N,Y,2012/7/4
v200,M,Republican,N,N,N,2012/7/4
