Voter,Type,Gender,Party
v477,domestic,M,Democratic
v478,domestic,F,Democratic
v479,domestic,F,Republican,military
v480,domestic,F,Democratic
v481,domestic,F,Republican
v482,domestic,M,Democratic
v483,domestic,M,Democratic
v484,domestic,M,Republican,military
v485,domestic,F,Democratic
v486,domestic,M,Republican
v487,domestic,M,Republican
v488,UOCAVA,F,Republican
v489,domestic,M,Republican,military
v490,domestic,F,Democratic
v491,domestic,M,Republican
v492,domestic,F,Democratic
v493,domestic,F,Democratic
v494,domestic,F,Republican,military
v495,domestic,M,Democratic
v496,domestic,M,Democratic
v497,domestic,M,Democratic
v498,domestic,F,Democratic
v499,domestic,F,Republican,military
v500,domestic,F,Republican
v501,domestic,M,Democratic
v502,domestic,F,Democratic
v503,domestic,F,Democratic
v504,domestic,F,Democratic,military
v505,domestic,M,Democratic
v506,domestic,F,Republican
v507,domestic,M,Republican
v508,domestic,M,Republican
v509,domestic,F,Democratic,military
v510,domestic,F,Republican
v511,domestic,M,Republican
v512,UOCAVA,F,Republican
v513,domestic,F,Green
v514,domestic,M,Democratic,military
v515,UOCAVA,M,Republican
v516,domestic,M,Republican
v517,domestic,F,Green
v518,domestic,F,Democratic
v519,domestic,F,Republican,military
v520,domestic,F,Republican
v521,UOCAVA,M,Republican
v522,domestic,F,Republican
v523,domestic,M,Republican
v524,domestic,F,Republican,military
v525,domestic,M,Democratic
v526,domestic,M,Democratic
v527,domestic,M,Green
v528,domestic,M,Republican
v529,domestic,F,Republican,military
v530,domestic,F,Democratic
v531,domestic,M,Republican
v532,domestic,M,Democratic
v533,domestic,F,Republican
v534,domestic,F,Democratic,military
v535,UOCAVA,F,Republican
v536,domestic,F,Republican
v537,domestic,F,Green
v538,domestic,F,Republican
v539,domestic,F,Democratic,military
v540,domestic,M,Republican
v541,domestic,M,Republican
v542,domestic,F,Democratic
v543,domestic,F,Democratic
v544,domestic,F,Republican,military
v545,domestic,F,Republican
v546,domestic,F,Republican
v547,domestic,F,Republican
v548,UOCAVA,M,Republican
v549,domestic,M,Democratic,military
v550,domestic,F,Republican
v551,domestic,M,Republican
v552,domestic,M,Republican
v553,domestic,F,Democratic
v554,domestic,F,Democratic,military
v555,domestic,F,Democratic
v556,domestic,F,Republican
v557,domestic,F,Republican
v558,UOCAVA,M,Democratic
v559,domestic,F,Democratic,military
v560,domestic,M,Democratic
v561,domestic,F,Republican
v562,domestic,F,Democratic
v563,domestic,M,Republican
v564,domestic,F,Green,military
v565,domestic,F,Green
v566,domestic,M,Green
v567,domestic,M,Democratic
v568,domestic,M,Republican
v569,domestic,M,Republican,military
v570,domestic,M,Democratic
v571,domestic,F,Democratic
v572,domestic,M,Democratic
v573,domestic,F,Democratic
v574,domestic,M,Republican,military
v575,UOCAVA,F,Republican
v576,domestic,F,Democratic
v577,domestic,M,Democratic
v578,domestic,F,Republican
v579,UOCAVA,F,Republican,military
v580,domestic,M,Democratic
v581,domestic,F,Republican
v582,domestic,F,Democratic
v583,domestic,M,Republican
v584,UOCAVA,M,Republican,military
v585,domestic,F,Democratic
v586,domestic,M,Republican
v587,domestic,F,Republican
v588,UOCAVA,M,Republican
v589,domestic,F,Republican,military
v590,domestic,M,Democratic
v591,domestic,M,Democratic
v592,domestic,M,Republican
v593,domestic,F,Green
v594,domestic,M,Republican,military
v595,domestic,F,Green
v596,domestic,F,Republican
v597,domestic,F,Democratic
v598,domestic,F,Republican
v599,domestic,F,Democratic,military
v600,domestic,F,Democratic
v601,domestic,F,Democratic
v602,UOCAVA,F,Democratic
v603,domestic,F,Democratic
v604,domestic,F,Republican,military
v605,domestic,M,Democratic
v606,domestic,F,Democratic
v607,domestic,F,Green
v608,domestic,F,Democratic
v609,domestic,F,Republican,military
v610,domestic,M,Democratic
v611,domestic,F,Republican
v612,domestic,M,Republican
v613,UOCAVA,F,Green
v614,domestic,M,Republican,military
v615,domestic,F,Democratic
v616,domestic,M,Democratic
v617,domestic,F,Green
v618,domestic,M,Democratic
v619,domestic,F,Republican,military
v620,domestic,F,Democratic
v621,domestic,M,Republican
v622,domestic,M,Democratic
v623,domestic,M,Republican
v624,domestic,M,Green,military
v625,domestic,F,Democratic
v626,domestic,F,Democratic
v627,domestic,F,Democratic
v628,domestic,F,Republican
v629,domestic,M,Democratic,military
v630,UOCAVA,F,Democratic
v631,domestic,M,Democratic
v632,domestic,M,Republican
v633,domestic,M,Democratic
v634,domestic,F,Republican,military
v635,domestic,F,Republican
v636,domestic,F,Republican
v637,domestic,M,Democratic
v638,domestic,F,Democratic
v639,domestic,F,Republican,military
v640,domestic,M,Democratic
v641,domestic,F,Democratic
v642,domestic,F,Republican
v643,domestic,F,Green
v644,UOCAVA,M,Republican,military
v645,domestic,M,Democratic
v646,domestic,M,Republican
v647,domestic,M,Republican
v648,domestic,M,Democratic
v649,domestic,M,Republican,military
v650,domestic,F,Democratic
v651,domestic,F,Democratic
v652,domestic,F,Democratic
v653,UOCAVA,M,Democratic
v654,domestic,F,Democratic,military
v655,domestic,M,Green
v656,domestic,F,Green
v657,domestic,F,Democratic
v658,domestic,F,Republican
v659,UOCAVA,F,Green,military
v660,domestic,F,Democratic
v661,domestic,M,Democratic
v662,domestic,M,Republican
v663,domestic,M,Democratic
v664,domestic,F,Green,military
v665,UOCAVA,M,Democratic
v666,domestic,F,Republican
v667,domestic,M,Democratic
v668,domestic,M,Democratic
v669,domestic,M,Democratic,military
v670,domestic,F,Democratic
v671,domestic,F,Green
v672,domestic,F,Democratic
v673,domestic,M,Democratic
v674,domestic,F,Democratic,military
v675,domestic,M,Green
v676,domestic,M,Republican
v677,domestic,F,Democratic
v678,domestic,F,Green
v679,UOCAVA,F,Democratic,military
v680,domestic,F,Republican
v681,domestic,M,Republican
v682,domestic,M,Republican
v683,domestic,M,Democratic
v684,domestic,M,Democratic,military
v685,domestic,F,Democratic
v686,domestic,F,Democratic
v687,domestic,M,Republican
v688,domestic,F,Democratic
v689,domestic,F,Republican,military
v690,domestic,F,Democratic
v691,domestic,M,Green
v692,domestic,F,Republican
v693,domestic,M,Democratic
v694,domestic,F,Republican,military
v695,domestic,F,Republican
v696,domestic,M,Democratic
v697,domestic,F,Democratic
v698,domestic,M,Democratic
v699,domestic,M,Democratic,military
v700,domestic,M,Green
v701,domestic,F,Green
v702,domestic,F,Democratic
v703,domestic,M,Democratic
v704,domestic,M,Green,military
v705,domestic,F,Republican
v706,domestic,F,Green
v707,domestic,F,Republican
v708,domestic,M,Republican
v709,domestic,M,Democratic,military
v710,domestic,M,Green
v711,domestic,M,Republican
v712,domestic,M,Democratic
v713,domestic,F,Democratic
v714,domestic,F,Democratic,military
v715,domestic,M,Republican
v716,domestic,M,Republican
v717,UOCAVA,F,Democratic
v718,domestic,F,Democratic
v719,domestic,F,Democratic,military
v720,domestic,F,Republican
v721,domestic,F,Republican
v722,domestic,M,Democratic
v723,domestic,F,Democratic
v724,domestic,M,Republican,military
v725,domestic,F,Democratic
v726,domestic,F,Democratic
v727,domestic,F,Democratic
v728,domestic,F,Republican
v729,domestic,F,Republican,military
v730,domestic,F,Green
v731,domestic,M,Democratic
v732,domestic,F,Green
v733,domestic,F,Republican
v734,domestic,M,Republican,military
v735,domestic,M,Democratic
v736,domestic,M,Green
v737,domestic,M,Democratic
v738,domestic,M,Republican
v739,domestic,F,Republican,military
v740,domestic,F,Green
v741,domestic,F,Republican
v742,domestic,F,Green
v743,domestic,M,Republican
v744,domestic,M,Green,military
v745,domestic,F,Democratic
v746,domestic,F,Democratic
v747,domestic,M,Democratic
v748,UOCAVA,F,Green
v749,domestic,M,Republican,military
v750,domestic,M,Republican
v751,domestic,M,Green
v752,domestic,F,Republican
v753,domestic,M,Republican
v754,domestic,M,Democratic,military
v755,UOCAVA,F,Green
v756,domestic,M,Democratic
v757,domestic,M,Democratic
v758,domestic,F,Republican
v759,domestic,F,Democratic,military
v760,domestic,F,Republican
v761,domestic,F,Republican
v762,domestic,F,Republican
v763,domestic,F,Democratic
v764,domestic,F,Democratic,military
v765,domestic,M,Green
v766,domestic,M,Democratic
v767,domestic,F,Democratic
v768,domestic,M,Green
v769,domestic,M,Republican,military
v770,domestic,M,Democratic
v771,domestic,F,Republican
v772,domestic,M,Democratic
v773,domestic,M,Republican
v774,domestic,M,Democratic,military
v775,domestic,M,Republican
v776,domestic,F,Democratic
v777,domestic,F,Republican
v778,domestic,M,Republican
v779,domestic,F,Republican,military
v780,domestic,F,Democratic
v781,domestic,M,Democratic
v782,UOCAVA,F,Green
v783,domestic,F,Republican
v784,domestic,M,Green,military
v785,domestic,F,Republican
v786,domestic,F,Democratic
v787,domestic,F,Republican
v788,domestic,F,Democratic
v789,domestic,F,Republican,military
v790,domestic,F,Democratic
v791,domestic,F,Republican
v792,domestic,F,Republican
v793,domestic,F,Green
v794,domestic,M,Republican,military
v795,domestic,M,Democratic
v796,domestic,F,Republican
v797,domestic,M,Democratic
v798,domestic,M,Democratic
v799,domestic,F,Green,military
v800,domestic,F,Democratic
v801,domestic,F,Republican
v802,domestic,M,Green
v803,domestic,F,Democratic
v804,UOCAVA,M,Democratic,military
v805,domestic,F,Democratic
v806,domestic,M,Republican
v807,domestic,F,Democratic
v808,domestic,F,Democratic
v809,domestic,M,Democratic,military
v810,domestic,F,Democratic
v811,domestic,M,Republican
v812,domestic,M,Green
v813,domestic,F,Republican
v814,domestic,F,Democratic,military
v815,domestic,M,Democratic
v816,UOCAVA,F,Green
v817,domestic,M,Republican
v818,domestic,M,Republican
v819,UOCAVA,F,Democratic,military
v820,domestic,F,Republican
v821,domestic,F,Republican
v822,domestic,F,Green
v823,domestic,M,Republican
v824,domestic,M,Republican,military
v825,UOCAVA,F,Republican
v826,domestic,M,Democratic
v827,domestic,M,Republican
v828,UOCAVA,F,Republican
v829,domestic,M,Democratic,military
v830,domestic,M,Democratic
v831,domestic,F,Democratic
v832,domestic,M,Democratic
v833,domestic,M,Green
v834,domestic,F,Republican,military
v835,domestic,F,Democratic
v836,domestic,F,Republican
v837,domestic,F,Republican
v838,domestic,F,Democratic
v839,domestic,F,Democratic,military
v840,domestic,M,Democratic
v841,domestic,F,Democratic
v842,domestic,F,Republican
v843,domestic,F,Democratic
v844,domestic,F,Democratic,military
v845,domestic,M,Republican
v846,UOCAVA,F,Republican
v847,UOCAVA,M,Republican
v848,domestic,F,Republican
v849,domestic,M,Republican,military
v850,domestic,F,Democratic
v851,domestic,F,Republican
v852,domestic,F,Republican
v853,domestic,F,Republican
v854,domestic,M,Republican,military
v855,domestic,M,Democratic
v856,domestic,M,Republican
v857,domestic,M,Democratic
v858,domestic,M,Democratic
v859,domestic,M,Democratic,military
v860,domestic,F,Green
v861,domestic,M,Democratic
v862,domestic,F,Democratic
v863,domestic,F,Democratic
v864,UOCAVA,M,Green,military
v865,domestic,M,Democratic
v866,domestic,F,Democratic
v867,UOCAVA,M,Democratic
v868,domestic,M,Republican
v869,domestic,M,Republican,military
v870,domestic,F,Republican
v871,domestic,F,Democratic
v872,domestic,F,Republican
v873,domestic,F,Democratic
v874,domestic,M,Democratic,military
v875,domestic,F,Green
v876,domestic,F,Republican
v877,domestic,M,Republican
v878,domestic,F,Republican
v879,domestic,F,Democratic,military
v880,domestic,F,Democratic
v881,domestic,F,Democratic
v882,domestic,M,Republican
v883,domestic,M,Democratic
v884,domestic,M,Republican,military
v885,domestic,F,Republican
v886,domestic,F,Green
v887,domestic,F,Green
v888,domestic,F,Green
v889,domestic,M,Democratic,military
v890,domestic,M,Republican
v891,domestic,F,Democratic
v892,domestic,F,Republican
v893,domestic,M,Democratic
v894,domestic,F,Democratic,military
v895,UOCAVA,F,Republican
v896,domestic,M,Democratic
v897,domestic,M,Republican
v898,domestic,M,Green
v899,domestic,M,Democratic,military
v900,domestic,M,Democratic
v901,domestic,F,Republican
v902,domestic,M,Democratic
v903,domestic,M,Republican
v904,domestic,F,Democratic,military
v905,domestic,F,Democratic
v906,UOCAVA,M,Green
v907,UOCAVA,F,Republican
v908,domestic,M,Republican
v909,domestic,M,Democratic,military
v910,UOCAVA,F,Republican
v911,domestic,F,Republican
v912,domestic,F,Republican
v913,domestic,M,Democratic
v914,domestic,F,Democratic,military
v915,domestic,F,Democratic
v916,domestic,M,Democratic
v917,UOCAVA,M,Republican
v918,domestic,M,Democratic
v919,domestic,F,Democratic,military
v920,domestic,M,Republican
v921,domestic,F,Democratic
v922,domestic,M,Democratic
v923,domestic,F,Republican
v924,domestic,M,Democratic,military
v925,domestic,F,Green
v926,domestic,M,Democratic
v927,domestic,M,Democratic
v928,domestic,F,Democratic
v929,domestic,F,Republican,military
v930,domestic,M,Democratic
v931,domestic,M,Democratic
v932,UOCAVA,F,Democratic
v933,domestic,F,Democratic
v934,domestic,M,Republican,military
v935,domestic,F,Green
v936,domestic,F,Democratic
v937,UOCAVA,M,Republican
v938,domestic,M,Democratic
v939,domestic,F,Democratic,military
v940,domestic,F,Republican
v941,domestic,F,Democratic
v942,domestic,M,Republican
v943,domestic,F,Republican
v944,domestic,F,Republican,military
v945,domestic,F,Republican
v946,domestic,M,Republican
v947,domestic,F,Democratic
v948,domestic,M,Democratic
v949,domestic,F,Democratic,military
v950,domestic,F,Republican
v951,domestic,F,Republican
v952,domestic,F,Republican
v953,domestic,M,Republican
v954,domestic,F,Democratic,military
v955,domestic,M,Republican
v956,domestic,F,Republican
v957,domestic,M,Democratic
v958,domestic,F,Green
v959,domestic,M,Republican,military
v960,domestic,F,Democratic
v961,domestic,M,Republican
v962,domestic,M,Democratic
v963,domestic,F,Republican
v964,domestic,F,Democratic,military
v965,domestic,F,Green
v966,domestic,F,Democratic
v967,domestic,F,Democratic
v968,domestic,F,Democratic
v969,domestic,M,Democratic,military
v970,domestic,F,Republican
v971,domestic,M,Democratic
v972,domestic,M,Democratic
v973,domestic,F,Republican
v974,domestic,F,Democratic,military
v975,domestic,F,Democratic
v976,domestic,M,Republican
v977,domestic,M,Democratic
v978,domestic,F,Republican
v979,UOCAVA,M,Republican,military
v980,domestic,M,Republican
v981,domestic,F,Democratic
v982,domestic,M,Democratic
v983,domestic,M,Democratic
v984,domestic,F,Republican,military
v985,domestic,M,Green
v986,domestic,F,Republican
v987,domestic,F,Democratic
v988,UOCAVA,F,Republican
v989,domestic,M,Republican,military
v990,domestic,M,Republican
v991,domestic,M,Democratic
v992,domestic,F,Republican
v993,domestic,F,Democratic
v994,domestic,F,Republican,military
v995,domestic,M,Democratic
v996,domestic,F,Green
v997,domestic,F,Democratic
