Voter,Type,Gender,Party
v101,UOCAVA,F,Republican,Military,Absentee
v102,domestic,M,Democratic
v103,domestic,F,Green
v104,domestic,M,Republican
v105,domestic,F,Democratic
v106,domestic,F,Democratic
v107,domestic,F,Democratic,,Absentee
v108,domestic,M,Green,,Absentee
v109,domestic,F,Republican,,Absentee
v110,domestic,M,Republican,,Absentee
v111,domestic,F,Republican
v112,domestic,M,Republican
v113,domestic,M,Democratic
v114,domestic,F,Democratic
v115,domestic,F,Republican,,Absentee
v116,domestic,M,Democratic
v117,domestic,M,Democratic
v118,domestic,M,Democratic
v119,domestic,F,Democratic
v120,domestic,M,Republican
v121,domestic,M,Democratic
v122,domestic,M,Republican,,Absentee
v123,domestic,F,Democratic
v124,domestic,F,Republican
v125,domestic,F,Democratic
v126,domestic,F,Democratic
v127,domestic,M,Democratic
v128,domestic,F,Republican,,Absentee
v129,domestic,M,Democratic
v130,domestic,M,Green
v131,domestic,M,Republican
v132,domestic,M,Republican,,Absentee
v133,domestic,M,Democratic
v134,domestic,F,Republican,,Absentee
v135,UOCAVA,M,Democratic,Military
v136,domestic,M,Democratic
v137,domestic,M,Republican,,Absentee
v138,domestic,F,Republican
v139,domestic,M,Democratic
v140,domestic,M,Republican
v141,domestic,M,Republican
v142,domestic,M,Democratic
v143,domestic,M,Republican
v144,domestic,F,Republican,,Absentee
v145,domestic,M,Democratic
v146,domestic,M,Democratic,,Absentee
v147,domestic,F,Republican
v148,domestic,M,Democratic
v149,domestic,F,Republican,,Absentee
v150,domestic,M,Democratic
v151,domestic,F,Republican
v152,domestic,F,Republican
v153,domestic,M,Democratic
v154,domestic,M,Republican
v155,domestic,F,Republican,,Absentee
v156,domestic,M,Republican,,Absentee
v157,domestic,M,Democratic
v158,domestic,M,Republican,,Absentee
v159,domestic,F,Republican,,Absentee
v160,domestic,F,Democratic,,Absentee
v161,domestic,M,Republican
v162,domestic,M,Republican,,Absentee
v163,UOCAVA,M,Republican
v164,UOCAVA,M,Democratic,,Absentee
v165,domestic,M,Democratic
v166,domestic,F,Republican
v167,domestic,M,Democratic
v168,domestic,M,Republican,,Absentee
v169,UOCAVA,F,Democratic
v170,domestic,M,Republican,,Absentee
v171,domestic,F,Democratic,,Absentee
v172,domestic,F,Green
v173,domestic,F,Democratic
v174,domestic,M,Republican,,Absentee
v175,domestic,M,Republican
v176,UOCAVA,F,Republican
v177,domestic,F,Democratic,,Absentee
v178,domestic,F,Democratic
v179,domestic,M,Republican,,Absentee
v180,UOCAVA,M,Republican,Military
v181,domestic,F,Republican,,Absentee
v182,domestic,F,Democratic
v183,domestic,M,Republican
v184,domestic,M,Democratic
v185,domestic,F,Republican
v186,domestic,M,Democratic
v187,domestic,M,Republican
v188,domestic,F,Republican
v189,domestic,M,Democratic
v190,domestic,M,Republican,,Absentee
v191,UOCAVA,F,Republican
v192,domestic,M,Democratic
v193,domestic,F,Republican,,Absentee
v194,domestic,F,Democratic,,Absentee
v195,domestic,M,Green,,Absentee
v196,domestic,F,Green
v197,domestic,M,Republican
v198,domestic,F,Green
v199,domestic,M,Green
v200,domestic,F,Republican
